Age,EdLevel,Gender,YearsCode,YearsCodePro,ComputerSkills,Accessibility,MentalHealth,MainBranch
1,2,1,10,8,9,0,0,1
0,0,0,12,0,7,0,1,1
0,2,0,5,4,19,0,0,1
1,3,0,25,17,20,0,0,1
0,2,0,2,0,19,0,1,1
0,2,0,10,4,17,0,0,1
0,2,0,6,2,6,0,1,1
0,3,0,14,5,11,0,0,1
0,2,0,5,0,17,0,0,1
1,2,0,35,21,28,0,1,1
1,3,0,28,24,7,0,1,1
0,3,1,18,11,21,0,0,1
0,3,0,11,5,16,0,0,1
0,2,0,10,4,2,0,0,1
0,0,1,12,0,22,0,1,1
0,2,0,22,16,30,0,1,1
0,0,1,2,1,10,1,1,1
0,2,0,5,0,12,0,0,1
0,3,0,4,3,8,1,0,1
0,2,0,6,2,16,0,0,1
0,2,0,4,2,11,0,1,1
0,2,0,12,1,13,0,0,1
0,2,0,14,10,11,0,0,1
1,1,0,7,5,13,0,1,1
0,2,0,14,7,30,0,0,1
0,2,0,15,10,8,0,1,1
1,2,0,4,6,13,1,0,1
0,2,0,2,2,7,0,0,1
1,0,0,38,31,15,0,0,1
0,2,0,11,8,18,0,0,1
1,3,0,30,20,13,0,0,1
0,2,0,8,5,14,0,1,1
0,2,0,6,5,17,0,1,1
1,3,0,30,20,20,1,1,1
1,2,0,24,20,13,0,0,1
0,3,0,16,6,8,0,0,1
0,2,0,13,3,14,0,0,1
1,2,0,32,20,13,0,1,0
0,2,0,9,6,16,0,0,1
0,3,0,14,7,5,0,1,1
0,2,0,3,2,12,0,0,1
1,1,0,40,24,10,0,0,1
